Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric",101.337500,-91.237500,0.000000,top
"C2","1u","C_0603_1608Metric",107.837500,-91.987500,-90.000000,top
"C3","470n","C_0603_1608Metric",120.955000,-82.980000,90.000000,top
"C4","470n","C_0603_1608Metric",122.455000,-82.980000,90.000000,top
"C5","0.1uF","C_0603_1608Metric",109.675000,-88.500000,0.000000,top
"C6","0.1uF","C_0603_1608Metric",112.750000,-87.000000,0.000000,top
"C7","0.1uF","C_0603_1608Metric",115.500000,-94.750000,90.000000,top
"C8","0.1uF","C_0603_1608Metric",136.750000,-69.225000,-90.000000,top
"C9","1uF","C_0603_1608Metric",134.990000,-69.225000,-90.000000,top
"C10","0.1uF","C_0603_1608Metric",110.500000,-76.975000,-90.000000,top
"J2","Conn","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",102.000000,-99.170000,-90.000000,top
"J3","Conn_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",189.000000,-111.830000,90.000000,top
"J4","Conn_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",189.000000,-97.365000,90.000000,top
"J5","Conn_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",189.000000,-83.365000,90.000000,top
"J6","Conn_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",189.000000,-69.115000,90.000000,top
"J7","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",94.145000,-82.360000,-90.000000,top
"Q1","AO3400A","SOT-23",178.857500,-107.098300,0.000000,top
"Q2","AO3400A","SOT-23",178.937500,-92.966600,0.000000,top
"Q3","AO3400A","SOT-23",179.437500,-79.050000,0.000000,top
"Q4","AO3400A","SOT-23",179.437500,-64.133300,0.000000,top
"R1","5k1","R_0603_1608Metric",99.175000,-88.500000,0.000000,top
"R2","5k1","R_0603_1608Metric",98.925000,-76.250000,0.000000,top
"R3","5k1","R_0603_1608Metric",112.750000,-88.500000,0.000000,top
"R4","5k1","R_0603_1608Metric",109.675000,-87.000000,0.000000,top
"R5","5k1","R_0603_1608Metric",122.675000,-92.250000,0.000000,top
"R6","5k1","R_0603_1608Metric",122.675000,-90.250000,0.000000,top
"R7","0.1","R_2512_6332Metric",110.750000,-102.000000,-90.000000,top
"R8","5k1","R_0603_1608Metric",174.545000,-107.098300,-90.000000,top
"R9","5k1","R_0603_1608Metric",174.625000,-92.879100,-90.000000,top
"R10","5k1","R_0603_1608Metric",175.125000,-78.962500,-90.000000,top
"R11","5k1","R_0603_1608Metric",175.125000,-64.045800,-90.000000,top
"U1","AP2112K-3.3","SOT-23-5",104.862500,-92.050000,0.000000,top
"U2","USBLC6-2SC6","SOT-23-6",102.137500,-82.450000,0.000000,top
"U4","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",120.000000,-96.250000,180.000000,top
"U6","ESP32-WROOM-32E","ESP32-WROOM-32E",147.500000,-73.790000,0.000000,top
"U7","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",109.945000,-82.525000,-90.000000,top
