Designator,Mid X,Mid Y,Rotation,Layer
C1,101.3375,-91.2375,0.0,top
C10,110.5,-76.975,270.0,top
C2,107.8375,-91.9875,270.0,top
C3,120.955,-82.98,90.0,top
C4,122.455,-82.98,90.0,top
C5,109.675,-88.5,0.0,top
C6,112.75,-87.0,0.0,top
C7,115.5,-94.75,90.0,top
C8,136.75,-69.225,270.0,top
C9,134.99,-69.225,270.0,top
J2,102.0,-101.71,270.0,top
J3,189.0,-109.29,90.0,top
J4,189.0,-94.825,90.0,top
J5,189.0,-80.825,90.0,top
J6,189.0,-66.575,90.0,top
J7,94.145,-82.36,270.0,top
Q1,178.8575,-107.0983,180.0,top
Q2,178.9375,-92.9666,180.0,top
Q3,179.4375,-79.05,180.0,top
Q4,179.4375,-64.1333,180.0,top
R1,99.175,-88.5,0.0,top
R10,175.125,-78.9625,270.0,top
R11,175.125,-64.0458,270.0,top
R2,98.925,-76.25,0.0,top
R3,112.75,-88.5,0.0,top
R4,109.675,-87.0,0.0,top
R5,122.675,-92.25,0.0,top
R6,122.675,-90.25,0.0,top
R7,110.75,-102.0,270.0,top
R8,174.545,-107.0983,270.0,top
R9,174.625,-92.8791,270.0,top
U1,104.8625,-92.05,180.0,top
U2,102.1375,-82.45,180.0,top
U4,120.0,-96.25,90.0,top
U6,147.5,-73.79,0.0,top
U7,109.945,-82.525,180.0,top
